,artiste,has_tweet,followers,fav,retweet,nbre tweet,tweet_freq
1067,Haste The Day,True,15584,55,11,4,3.5
1068,Audrey Assad,True,48165,10159,1541,51814,17.59722222222222
1069,Grouplove,True,131947,10753,1062,6702,2.5520833333333335
1070,Soulfly,True,48906,9398,2479,2300,5.71875
1071,Action Bronson,True,341109,155915,35755,56011,10.10483870967742
1072,Rival Sons,True,35751,12275,2017,17692,2.3644444444444446
1073,Gary Clark Jr.,True,114302,19517,2417,2811,2.7292929292929293
1074,Melissa Etheridge,True,102095,87045,12188,5540,10.091666666666667
1075,Stacy Barthe,True,39729,680,234,12369,0.9096045197740112
1076,Colvin & Earle,False,0,0,0,0,0.0
1077,The Lox,True,16433,1984,950,1481,1.094972067039106
1078,Seth Avett & Jessica Lea Mayfield,False,0,0,0,0,0.0
1079,Ludacris,True,11542998,39218,5087,21249,18.42105263157895
1080,Yo Gotti & Mike WiLL Made-It,False,0,0,0,0,0.0
1081,dodie,True,1014818,317006,16693,72621,56.0
1082,Tony Bennett,True,141422,156180,24803,3070,3.0481012658227846
1083,New Kids On The Block,True,302507,223074,27473,8978,11.29245283018868
1084,Nas With The National Symphony Orchestra,False,0,0,0,0,0.0
1085,Randy Houser,True,561107,8644,746,8621,8.571428571428571
1086,Steve Perry,True,25392,178503,27355,175,9.761467889908257
1087,Farruko,True,3873782,71486,9297,10700,6.2631578947368425
1088,Godsmack,True,291875,20861,2546,13354,9.408602150537634
1089,Denzel Curry,False,0,0,0,0,0.0
1090,LeToya Luckett,True,818088,54315,12494,19752,2.1702508960573477
1091,Sting & Shaggy,True,120897,3353,591,10167,12.866666666666667
1092,Elevation Worship,True,159575,71208,15900,8435,5.775
1093,The Mavericks,True,11280,6240,1207,2625,1.1796954314720811
1094,The Doobie Brothers,True,51422,29318,4661,2505,2.925373134328358
1095,Tobias Jesso Jr.,True,12409,7107,1600,302,0.8171206225680934
1096,Slaves,True,68038,65447,8404,5339,5.923076923076923
1097,J.I.D,True,159627,109428,11740,81791,236.25
1098,Lalah Hathaway,True,299972,6251,770,52226,47.666666666666664
1099,Witt Lowry,True,131550,758236,204762,26179,2.6792035398230087
1100,The Monks Of Norcia,False,0,0,0,0,0.0
1101,Stick To Your Guns,True,71687,11309,1610,15292,30.512820512820515
1102,Jamie xx,True,84643,3247,843,10160,2.7248322147651005
1103,Stephen Malkmus And The Jicks,False,0,0,0,0,0.0
1104,Rend Collective,True,93186,11149,1629,6250,4.510067114093959
1105,Jason Isbell,True,233006,162062,10318,28450,26.121951219512194
1106,Sufjan Stevens,False,0,0,0,0,0.0
1107,Murs,True,129438,3795,573,22747,16.14666666666667
1108,MuteMath,True,77489,6613,906,6077,1.1613636363636364
1109,Eric Paslay,True,145374,7678,587,4716,5.992
1110,Animals As Leaders,True,61617,4578,596,3304,2.7131782945736433
1111,Prof,True,12885,1103,1024,459,5.95945945945946
1112,Tiesto,True,5102671,111036,18924,32201,7.837606837606837
1113,Jake Owen,True,2210891,187680,18500,6247,5.018867924528302
1114,Fozzy,True,87205,871,231,29971,36.4
1115,Josh Ritter,True,36570,13647,978,4614,5.074349442379182
1116,Deerhunter,True,2876,6019,855,265,4.539748953974895
1117,Eazy-E,True,59261,102190,21024,3276,1.3028064992614476
1118,Canaan Smith,True,76048,4538,612,15450,4.208588957055214
1119,Mastodon,True,463593,52577,12608,1498,1.9870967741935484
1120,Seth MacFarlane,True,14338725,1233243,221918,8343,4.861111111111111
1121,Asking Alexandria,True,1003345,112208,20537,2944,4.008064516129032
1122,Alison Krauss,True,111219,17712,3865,505,0.8294797687861272
1123,Fat Joe & Remy Ma,False,0,0,0,0,0.0
1124,Weezer,True,1735487,80375,12339,6315,5.135869565217392
1125,Bishop Briggs,True,53502,47833,4062,11497,30.8
1126,The Wombats,True,124610,26294,3160,5993,16.169014084507044
1127,James Blake,True,290594,152556,31777,1509,1.165289256198347
1128,Between The Buried And Me,True,43607,10021,1749,1758,2.703252032520325
1129,Coal Chamber,True,8919,1293,487,1742,1.3970741901776385
1130,Nothing More,True,49291,2656,333,18497,50.2962962962963
1131,Alabama,True,67743,2897,400,2797,8.444444444444445
1132,Neon Indian,True,71397,12045,3176,2849,0.8878822197055493
1133,The Doors,True,915232,94003,24513,3565,5.256916996047431
1134,Boston,True,297873,6623,2533,17660,15.30232558139535
1135,Roddy Ricch,True,6935,2592,1135,4849,1.3702127659574468
1136,Hailee Steinfeld,True,1031677,1137306,132613,4544,6.24
1137,Caleb + Kelsey,False,0,0,0,0,0.0
1138,Jeff Buckley,True,24640,15887,6834,432,0.8295537673738113
1139,Quicksand,True,5711,6786,1039,415,2.22962962962963
1140,Ibeyi,True,33252,10137,1611,3303,6.355263157894737
1141,Chuck Berry,True,4787,5194,2980,150,1.1572254335260115
1142,Michael Bolton,True,99686,23613,4098,7561,8.00625
1143,Ashley Monroe,True,134446,15030,1693,6868,3.6108597285067874
1144,The Dillinger Escape Plan,True,42697,8496,1225,2083,1.500619578686493
1145,Marty,True,152782,74951,6545,20058,13.169491525423728
1146,Ricky Dillard & New G,False,0,0,0,0,0.0
1147,Lindsay Ell,True,108337,16369,1004,44919,56.666666666666664
1148,Glass Animals,True,91751,99889,11180,8337,4.926923076923077
1149,Joy Villa,True,154299,6867,971,35701,152.83333333333334
1150,Cradle Of Filth,True,87987,11129,2587,5002,3.185
1151,Adore Delano,True,392490,181917,20001,14761,18.83823529411765
1152,Joey Feek,True,48763,7006,1116,1350,0.7007007007007007
1153,Beth Hart,True,37878,24016,2454,9832,4.765258215962441
1154,Sharon Jones And The Dap-Kings,False,0,0,0,0,0.0
1155,Low,True,21954,3699,237,5747,31.208333333333332
1156,Red Marlow,True,29478,12739,2158,2443,5.323353293413174
1157,B.B. King,False,0,0,0,0,0.0
1158,Leona Lewis,True,1228505,84585,13013,8298,9.315384615384616
1159,Burn The Priest,True,746473,69861,14329,4008,4.452
